First_Numbers,State_Name,State_Code,,,
11,Delhi,DL,,,
12,Haryana,HR,,,
13,Haryana,HR,,,
14,Punjab,PB,,,
15,Punjab,PB,,,
16,Chandigarh,CH,,,
17,Himachal Pradesh,HP,,,
18,Jammu and Kashmir,JK,,,
19,Ladakh,LA,,,
20,Uttar Pradesh,UP,,,
21,Uttar Pradesh,UP,,,
22,Uttar Pradesh,UP,,,
23,Uttar Pradesh,UP,,,
24,Uttar Pradesh,UP,,,
25,Uttar Pradesh,UP,,,
26,Uttarakhand,UT,,,
27,Uttarakhand,UT,,,
28,Uttarakhand,UT,,,
30,Rajasthan,RJ,,,
31,Rajasthan,RJ,,,
32,Rajasthan,RJ,,,
33,Rajasthan,RJ,,,
34,Rajasthan,RJ,,,
36,Gujarat,GJ,,,
37,Gujarat,GJ,,,
38,Gujarat,GJ,,,
39,Gujarat,GJ,,,
396,Dadra and Nagar Haveli and Daman and Diu,DH,,,
40,Maharashtra,MH,,,
41,Maharashtra,MH,,,
42,Maharashtra,MH,,,
43,Maharashtra,MH,,,
44,Maharashtra,MH,,,
403,Goa,GA,,,
45,Madhya Pradesh,MP,,,
46,Madhya Pradesh,MP,,,
47,Madhya Pradesh,MP,,,
48,Madhya Pradesh,MP,,,
49,Chhattisgarh,CT,,,
50,Telangana,TG,,,
51,Andhra Pradesh,AP,,,
52,Andhra Pradesh,AP,,,
53,Andhra Pradesh,AP,,,
56,Karnataka,KA,,,
57,Karnataka,KA,,,
58,Karnataka,KA,,,
59,Karnataka,KA,,,
60,Tamil Nadu,TN,,,
61,Tamil Nadu,TN,,,
62,Tamil Nadu,TN,,,
63,Tamil Nadu,TN,,,
64,Tamil Nadu,TN,,,
65,Tamil Nadu,TN,,,
66,Tamil Nadu,TN,,,
605,Pondicherry,PY,,,
67,Kerala,KL,,,
68,Kerala,KL,,,
69,Kerala,KL,,,
682,Lakshadweep,LD,,,
70,West Bengal,WB,,,
71,West Bengal,WB,,,
72,West Bengal,WB,,,
73,West Bengal,WB,,,
74,West Bengal,WB,,,
737,Sikkim,SK,,,
744,Andaman and Nico.In.,AN,,,
75,Odisha,OR,,,
76,Odisha,OR,,,
77,Odisha,OR,,,
78,Assam,AS,,,
790,Arunachal Pradesh,AR,,,
791,Arunachal Pradesh,AR,,,
792,Arunachal Pradesh,AR,,,
793,Megalaya,ML,,,
794,Megalaya,ML,,,
795,Manipur,MN,,,
796,Mizoram,MZ,,,
797,Nagaland,NL,,,
798,Nagaland,NL,,,
799,Tripura,TR,,,
80,Bihar,BR,,,
81,Bihar,BR,,,
82,Bihar,BR,,,
83,Jharkhand,JH,,,
84,Jharkhand,JH,,,
85,Jharkhand,JH,,,
90,Army Postal Service,APS,,,
91,Army Postal Service,APS,,,
92,Army Postal Service,APS,,,
93,Army Postal Service,APS,,,
94,Army Postal Service,APS,,,
95,Army Postal Service,APS,,,
96,Army Postal Service,APS,,,
97,Army Postal Service,APS,,,
98,Army Postal Service,APS,,,
99,Army Postal Service,APS,,,
